ComputerName,IP,Username,Password,WSUSLOOP,Hostname,UserLoggedIn
LABWIN01.win.local,10.194.117.145,admin,P@ssword
LABWIN02.win.local,10.194.117.146,admin,P@ssword
LABWIN03.win.local,10.194.117.147,admin,P@ssword
LABWIN04.win.local,10.194.117.148,admin,P@ssword
LABWIN05.win.local,10.194.117.149,admin,P@ssword
LABWIN06.win.local,10.194.117.150,admin,P@ssword
LABWIN07.win.local,10.194.117.151,admin,P@ssword
LABWIN08.win.local,10.194.117.152,admin,P@ssword
LABWIN09.win.local,10.194.117.153,admin,P@ssword
LABWIN10.win.local,10.194.117.154,admin,P@ssword
LABWIN11.win.local,10.194.117.155,admin,P@ssword
LABWIN12.win.local,10.194.117.156,admin,P@ssword
LABWIN13.win.local,10.194.117.157,admin,P@ssword
LABWIN14.win.local,10.194.117.158,admin,P@ssword
LABWIN15.win.local,10.194.117.159,admin,P@ssword
LABWIN16.win.local,10.194.117.160,admin,P@ssword
LABWIN17.win.local,10.194.117.161,admin,P@ssword
LABWIN18.win.local,10.194.117.162,admin,P@ssword
LABWIN19.win.local,10.194.117.163,admin,P@ssword
LABWIN20.win.local,10.194.117.164,admin,P@ssword
LABWIN21.win.local,10.194.119.125,admin,P@ssword
LABWIN22.win.local,10.194.119.142,admin,P@ssword
LABWIN23.win.local,10.194.119.143,admin,P@ssword
LABWIN24.win.local,10.194.119.144,admin,P@ssword
LABWIN25.win.local,10.194.119.152,admin,P@ssword
LABWIN26.win.local,10.194.119.178,admin,P@ssword
LABWIN27.win.local,10.194.119.179,admin,P@ssword
LABWIN28.win.local,10.194.119.130,admin,P@ssword
LABWIN29.win.local,10.194.119.131,admin,P@ssword
LABWIN30.win.local,10.194.119.132,admin,P@ssword
LABWIN31.win.local,10.194.119.133,admin,P@ssword
LABWIN32.win.local,10.194.119.134,admin,P@ssword
LABWIN33.win.local,10.194.119.135,admin,P@ssword
LABWIN34.win.local,10.194.119.136,admin,P@ssword
LABWIN35.win.local,10.194.119.137,admin,P@ssword
LABWIN36.win.local,10.194.119.138,admin,P@ssword
LABWIN37.win.local,10.194.119.150,admin,P@ssword

